Date,Time,Nitrogen dioxide,Status
01/03/2021,01:00:00,32.90129,V ugm-3
01/03/2021,02:00:00,21.02525,V ugm-3
01/03/2021,03:00:00,15.06301,V ugm-3
01/03/2021,04:00:00,11.44615,V ugm-3
01/03/2021,05:00:00,13.61783,V ugm-3
01/03/2021,06:00:00,25.34275,V ugm-3
01/03/2021,07:00:00,28.84053,V ugm-3
01/03/2021,08:00:00,32.48669,V ugm-3
01/03/2021,09:00:00,37.45131,V ugm-3
01/03/2021,10:00:00,41.17869,V ugm-3
01/03/2021,11:00:00,36.35245,V ugm-3
01/03/2021,12:00:00,33.59848,V ugm-3
01/03/2021,13:00:00,32.39984,V ugm-3
01/03/2021,14:00:00,34.39545,V ugm-3
01/03/2021,15:00:00,35.35137,V ugm-3
01/03/2021,16:00:00,32.09686,V ugm-3
01/03/2021,17:00:00,38.71168,V ugm-3
01/03/2021,18:00:00,45.40115,V ugm-3
01/03/2021,19:00:00,44.86802,V ugm-3
01/03/2021,20:00:00,38.87974,V ugm-3
01/03/2021,21:00:00,41.6328,V ugm-3
01/03/2021,22:00:00,38.2969,V ugm-3
01/03/2021,23:00:00,30.04572,V ugm-3
01/03/2021,00:00:00,28.1965,V ugm-3
02/03/2021,01:00:00,27.42161,V ugm-3
02/03/2021,02:00:00,21.46095,V ugm-3
02/03/2021,03:00:00,23.36543,V ugm-3
02/03/2021,04:00:00,22.86057,V ugm-3
02/03/2021,05:00:00,23.03847,V ugm-3
02/03/2021,06:00:00,25.25735,V ugm-3
02/03/2021,07:00:00,27.8841,V ugm-3
02/03/2021,08:00:00,30.39414,V ugm-3
02/03/2021,09:00:00,32.49331,V ugm-3
02/03/2021,10:00:00,30.95762,V ugm-3
02/03/2021,11:00:00,30.87603,V ugm-3
02/03/2021,12:00:00,31.68205,V ugm-3
02/03/2021,13:00:00,29.50645,V ugm-3
02/03/2021,14:00:00,32.08656,V ugm-3
02/03/2021,15:00:00,30.20884,V ugm-3
02/03/2021,16:00:00,31.63402,V ugm-3
02/03/2021,17:00:00,37.10897,V ugm-3
02/03/2021,18:00:00,40.27734,V ugm-3
02/03/2021,19:00:00,44.18399,V ugm-3
02/03/2021,20:00:00,48.60643,V ugm-3
02/03/2021,21:00:00,51.44542,V ugm-3
02/03/2021,22:00:00,47.95121,V ugm-3
02/03/2021,23:00:00,52.88033,V ugm-3
02/03/2021,0:00:00,51.40712,V ugm-3
03/03/2021,01:00:00,52.06077,V ugm-3
03/03/2021,02:00:00,54.66886,V ugm-3
03/03/2021,03:00:00,51.19653,V ugm-3
03/03/2021,04:00:00,43.63196,V ugm-3
03/03/2021,05:00:00,42.37971,V ugm-3
03/03/2021,06:00:00,39.76611,V ugm-3
03/03/2021,07:00:00,41.53043,V ugm-3
03/03/2021,08:00:00,40.287,V ugm-3
03/03/2021,09:00:00,41.17061,V ugm-3
03/03/2021,10:00:00,44.12426,V ugm-3
03/03/2021,11:00:00,45.77258,V ugm-3
03/03/2021,12:00:00,45.30667,V ugm-3
03/03/2021,13:00:00,47.68927,V ugm-3
03/03/2021,14:00:00,50.03845,V ugm-3
03/03/2021,15:00:00,50.31959,V ugm-3
03/03/2021,16:00:00,50.64,V ugm-3
03/03/2021,17:00:00,46.46462,V ugm-3
03/03/2021,18:00:00,46.04493,V ugm-3
03/03/2021,19:00:00,51.21117,V ugm-3
03/03/2021,20:00:00,50.2705,V ugm-3
03/03/2021,21:00:00,45.82477,V ugm-3
03/03/2021,22:00:00,46.19632,V ugm-3
03/03/2021,23:00:00,45.57218,V ugm-3
03/03/2021,0:00:00,41.39773,V ugm-3
04/03/2021,01:00:00,37.26563,V ugm-3
04/03/2021,02:00:00,28.96488,V ugm-3
04/03/2021,03:00:00,23.40564,V ugm-3
04/03/2021,04:00:00,21.49681,V ugm-3
04/03/2021,05:00:00,24.99346,V ugm-3
04/03/2021,06:00:00,20.50813,V ugm-3
04/03/2021,07:00:00,24.46802,V ugm-3
04/03/2021,08:00:00,35.03134,V ugm-3
04/03/2021,09:00:00,42.21665,V ugm-3
04/03/2021,10:00:00,37.01317,V ugm-3
04/03/2021,11:00:00,41.75874,V ugm-3
04/03/2021,12:00:00,34.46279,V ugm-3
04/03/2021,13:00:00,36.23079,V ugm-3
04/03/2021,14:00:00,34.89405,V ugm-3
