Date,Time,Nitrogen dioxide,Status
05/03/2021,16:00:00,13.07536,V ugm-3
05/03/2021,17:00:00,12.88323,V ugm-3
05/03/2021,18:00:00,17.40206,V ugm-3
05/03/2021,19:00:00,25.04488,V ugm-3
05/03/2021,20:00:00,18.21934,V ugm-3
05/03/2021,21:00:00,19.75766,V ugm-3
05/03/2021,22:00:00,23.17081,V ugm-3
05/03/2021,23:00:00,20.76715,V ugm-3
05/03/2021,0:00:00,21.10353,V ugm-3
06/03/2021,01:00:00,22.24958,V ugm-3
06/03/2021,02:00:00,19.36405,V ugm-3
06/03/2021,03:00:00,22.98679,V ugm-3
06/03/2021,04:00:00,23.90064,V ugm-3
06/03/2021,05:00:00,17.79318,V ugm-3
06/03/2021,06:00:00,17.69703,V ugm-3
06/03/2021,07:00:00,23.08254,V ugm-3
06/03/2021,08:00:00,30.6805,V ugm-3
06/03/2021,09:00:00,31.92973,V ugm-3
06/03/2021,10:00:00,21.87962,V ugm-3
06/03/2021,11:00:00,11.63697,V ugm-3
06/03/2021,12:00:00,8.89612,V ugm-3
06/03/2021,13:00:00,9.85799,V ugm-3
06/03/2021,14:00:00,13.51262,V ugm-3
06/03/2021,15:00:00,17.69641,V ugm-3
06/03/2021,16:00:00,17.79274,V ugm-3
06/03/2021,17:00:00,20.29348,V ugm-3
06/03/2021,18:00:00,17.21603,V ugm-3
06/03/2021,19:00:00,17.02373,V ugm-3
06/03/2021,20:00:00,22.02507,V ugm-3
06/03/2021,21:00:00,15.96578,V ugm-3
06/03/2021,22:00:00,19.71681,V ugm-3
06/03/2021,23:00:00,30.8255,V ugm-3
06/03/2021,0:00:00,52.12549,V ugm-3
07/03/2021,01:00:00,49.77316,V ugm-3
07/03/2021,02:00:00,52.01412,V ugm-3
07/03/2021,03:00:00,52.90853,V ugm-3
07/03/2021,04:00:00,44.87973,V ugm-3
07/03/2021,05:00:00,36.94583,V ugm-3
07/03/2021,06:00:00,25.78521,V ugm-3
07/03/2021,07:00:00,23.13927,V ugm-3
07/03/2021,08:00:00,13.51775,V ugm-3
07/03/2021,09:00:00,8.08178,V ugm-3
07/03/2021,10:00:00,6.10942,V ugm-3
07/03/2021,11:00:00,6.34989,V ugm-3
07/03/2021,12:00:00,5.43581,V ugm-3
07/03/2021,13:00:00,6.20533,V ugm-3
07/03/2021,14:00:00,6.0611,V ugm-3
07/03/2021,15:00:00,7.40807,V ugm-3
07/03/2021,16:00:00,8.22598,V ugm-3
07/03/2021,17:00:00,9.81364,V ugm-3
07/03/2021,18:00:00,15.53829,V ugm-3
07/03/2021,19:00:00,26.21832,V ugm-3
07/03/2021,20:00:00,57.77584,V ugm-3
07/03/2021,21:00:00,73.25532,V ugm-3
07/03/2021,22:00:00,74.58903,V ugm-3
07/03/2021,23:00:00,78.37544,V ugm-3
07/03/2021,0:00:00,69.00714,V ugm-3
08/03/2021,01:00:00,59.21012,V ugm-3
08/03/2021,02:00:00,54.85685,V ugm-3
08/03/2021,03:00:00,52.20731,V ugm-3
08/03/2021,04:00:00,51.19627,V ugm-3
08/03/2021,05:00:00,51.72194,V ugm-3
08/03/2021,06:00:00,56.18545,V ugm-3
08/03/2021,07:00:00,70.53516,V ugm-3
08/03/2021,08:00:00,79.89953,V ugm-3
08/03/2021,09:00:00,56.56038,V ugm-3
08/03/2021,10:00:00,57.18587,V ugm-3
08/03/2021,11:00:00,47.47603,V ugm-3
08/03/2021,12:00:00,27.66472,V ugm-3
08/03/2021,13:00:00,34.88051,V ugm-3
08/03/2021,14:00:00,23.43342,V ugm-3
08/03/2021,15:00:00,22.18225,V ugm-3
08/03/2021,16:00:00,16.7937,V ugm-3
08/03/2021,17:00:00,13.1375,V ugm-3
08/03/2021,18:00:00,20.83761,V ugm-3
08/03/2021,19:00:00,46.34309,V ugm-3
08/03/2021,20:00:00,90.19885,V ugm-3
08/03/2021,21:00:00,84.72381,V ugm-3
08/03/2021,22:00:00,61.256,V ugm-3
08/03/2021,23:00:00,46.82356,V ugm-3
08/03/2021,0:00:00,30.94389,V ugm-3
09/03/2021,01:00:00,31.51672,V ugm-3
09/03/2021,02:00:00,29.91176,V ugm-3
09/03/2021,03:00:00,23.73344,V ugm-3
09/03/2021,04:00:00,28.01827,V ugm-3
09/03/2021,05:00:00,24.02252,V ugm-3
09/03/2021,06:00:00,26.52554,V ugm-3
09/03/2021,07:00:00,32.34899,V ugm-3
09/03/2021,08:00:00,35.71643,V ugm-3
09/03/2021,09:00:00,32.1989,V ugm-3
09/03/2021,10:00:00,27.04816,V ugm-3
09/03/2021,11:00:00,26.27897,V ugm-3
09/03/2021,12:00:00,20.84011,V ugm-3
09/03/2021,13:00:00,30.36803,V ugm-3
09/03/2021,14:00:00,20.21535,V ugm-3
09/03/2021,15:00:00,17.42464,V ugm-3
09/03/2021,16:00:00,26.95456,V ugm-3
09/03/2021,17:00:00,31.67297,V ugm-3
09/03/2021,18:00:00,68.8263,V ugm-3
09/03/2021,19:00:00,57.51725,V ugm-3
09/03/2021,20:00:00,43.07995,V ugm-3
09/03/2021,21:00:00,32.10678,V ugm-3
09/03/2021,22:00:00,27.5342,V ugm-3
09/03/2021,23:00:00,17.23332,V ugm-3
09/03/2021,0:00:00,11.93863,V ugm-3
10/03/2021,01:00:00,9.76015,V ugm-3
10/03/2021,02:00:00,9.63175,V ugm-3
10/03/2021,03:00:00,9.24575,V ugm-3
10/03/2021,04:00:00,8.6201,V ugm-3
10/03/2021,05:00:00,8.13845,V ugm-3
10/03/2021,06:00:00,15.6969,V ugm-3
10/03/2021,07:00:00,31.38932,V ugm-3
10/03/2021,08:00:00,34.32459,V ugm-3
10/03/2021,09:00:00,35.43189,V ugm-3
10/03/2021,10:00:00,29.17202,V ugm-3
10/03/2021,11:00:00,32.4969,V ugm-3
10/03/2021,12:00:00,26.42909,V ugm-3
10/03/2021,13:00:00,27.15274,V ugm-3
10/03/2021,14:00:00,28.59698,V ugm-3
10/03/2021,15:00:00,34.42346,V ugm-3
10/03/2021,16:00:00,35.04357,V ugm-3
10/03/2021,17:00:00,31.34021,V ugm-3
10/03/2021,18:00:00,25.37186,V ugm-3
10/03/2021,19:00:00,23.3516,V ugm-3
10/03/2021,20:00:00,16.61109,V ugm-3
10/03/2021,21:00:00,14.73268,V ugm-3
10/03/2021,22:00:00,10.92971,V ugm-3
10/03/2021,23:00:00,8.13725,V ugm-3
10/03/2021,0:00:00,5.39299,V ugm-3
11/03/2021,01:00:00,4.43153,V ugm-3
11/03/2021,02:00:00,5.71636,V ugm-3
11/03/2021,03:00:00,3.56467,V ugm-3
11/03/2021,04:00:00,4.14277,V ugm-3
11/03/2021,05:00:00,5.63569,V ugm-3
11/03/2021,06:00:00,8.62141,V ugm-3
11/03/2021,07:00:00,19.07049,V ugm-3
11/03/2021,08:00:00,25.57202,V ugm-3
11/03/2021,09:00:00,25.47813,V ugm-3
11/03/2021,10:00:00,20.66132,V ugm-3
11/03/2021,11:00:00,14.59267,V ugm-3
11/03/2021,12:00:00,15.36358,V ugm-3
11/03/2021,13:00:00,12.90792,V ugm-3
11/03/2021,14:00:00,23.55154,V ugm-3
11/03/2021,15:00:00,21.09685,V ugm-3
11/03/2021,16:00:00,26.34496,V ugm-3
11/03/2021,17:00:00,32.55918,V ugm-3
11/03/2021,18:00:00,28.90174,V ugm-3
11/03/2021,19:00:00,28.3727,V ugm-3
11/03/2021,20:00:00,22.20761,V ugm-3
11/03/2021,21:00:00,18.20943,V ugm-3
11/03/2021,22:00:00,13.15189,V ugm-3
11/03/2021,23:00:00,11.65835,V ugm-3
11/03/2021,0:00:00,16.28302,V ugm-3
12/03/2021,01:00:00,15.93533,V ugm-3
12/03/2021,02:00:00,7.83917,V ugm-3
12/03/2021,03:00:00,7.035,V ugm-3
12/03/2021,04:00:00,6.6017,V ugm-3
12/03/2021,05:00:00,7.37242,V ugm-3
12/03/2021,06:00:00,16.47792,V ugm-3
12/03/2021,07:00:00,40.32154,V ugm-3
12/03/2021,08:00:00,40.65733,V ugm-3
12/03/2021,09:00:00,39.59966,V ugm-3
12/03/2021,10:00:00,40.08247,V ugm-3
12/03/2021,11:00:00,30.44902,V ugm-3
12/03/2021,12:00:00,21.68059,V ugm-3
12/03/2021,13:00:00,24.66782,V ugm-3
12/03/2021,14:00:00,22.50037,V ugm-3
12/03/2021,15:00:00,25.48748,V ugm-3
12/03/2021,16:00:00,31.55788,V ugm-3
12/03/2021,17:00:00,37.24252,V ugm-3
12/03/2021,18:00:00,35.50796,V ugm-3
12/03/2021,19:00:00,36.42357,V ugm-3
12/03/2021,20:00:00,29.10168,V ugm-3
12/03/2021,21:00:00,22.69448,V ugm-3
12/03/2021,22:00:00,15.46729,V ugm-3
12/03/2021,23:00:00,13.39582,V ugm-3
12/03/2021,0:00:00,9.25165,V ugm-3
13/03/2021,01:00:00,8.29125,V ugm-3
13/03/2021,02:00:00,12.40584,V ugm-3
13/03/2021,03:00:00,10.70249,V ugm-3
13/03/2021,04:00:00,8.38813,V ugm-3
13/03/2021,05:00:00,12.05194,V ugm-3
13/03/2021,06:00:00,10.89393,V ugm-3
13/03/2021,07:00:00,13.97748,V ugm-3
13/03/2021,08:00:00,25.1587,V ugm-3
13/03/2021,09:00:00,12.38809,V ugm-3
13/03/2021,10:00:00,8.5321,V ugm-3
13/03/2021,11:00:00,8.04956,V ugm-3
13/03/2021,12:00:00,7.85694,V ugm-3
13/03/2021,13:00:00,7.27846,V ugm-3
13/03/2021,14:00:00,10.98965,V ugm-3
13/03/2021,15:00:00,7.47211,V ugm-3
13/03/2021,16:00:00,7.90585,V ugm-3
13/03/2021,17:00:00,6.17048,V ugm-3
