Date,Time,Nitrogen dioxide,Status
25/03/2021,07:00:00,36.31753,V ugm-3
25/03/2021,08:00:00,36.45687,V ugm-3
25/03/2021,09:00:00,18.84777,V ugm-3
25/03/2021,10:00:00,10.88645,V ugm-3
25/03/2021,11:00:00,7.8646,V ugm-3
25/03/2021,12:00:00,6.54927,V ugm-3
25/03/2021,13:00:00,10.40704,V ugm-3
25/03/2021,14:00:00,12.34231,V ugm-3
25/03/2021,15:00:00,13.24028,V ugm-3
25/03/2021,16:00:00,15.72431,V ugm-3
25/03/2021,17:00:00,13.06203,V ugm-3
25/03/2021,18:00:00,13.18492,V ugm-3
25/03/2021,19:00:00,12.71098,V ugm-3
25/03/2021,20:00:00,11.16568,V ugm-3
25/03/2021,21:00:00,10.56338,V ugm-3
25/03/2021,22:00:00,8.23874,V ugm-3
25/03/2021,23:00:00,5.64094,V ugm-3
25/03/2021,0:00:00,4.91575,V ugm-3
26/03/2021,01:00:00,4.57599,V ugm-3
26/03/2021,02:00:00,3.39523,V ugm-3
26/03/2021,03:00:00,2.65426,V ugm-3
26/03/2021,04:00:00,2.67822,V ugm-3
26/03/2021,05:00:00,3.23595,V ugm-3
26/03/2021,06:00:00,5.62586,V ugm-3
26/03/2021,07:00:00,10.19234,V ugm-3
26/03/2021,08:00:00,11.30719,V ugm-3
26/03/2021,09:00:00,10.26078,V ugm-3
26/03/2021,10:00:00,10.26263,V ugm-3
26/03/2021,11:00:00,7.48818,V ugm-3
26/03/2021,12:00:00,7.2158,V ugm-3
26/03/2021,13:00:00,6.11331,V ugm-3
26/03/2021,14:00:00,7.50609,V ugm-3
26/03/2021,15:00:00,14.42369,V ugm-3
26/03/2021,16:00:00,15.4307,V ugm-3
26/03/2021,17:00:00,30.60631,V ugm-3
26/03/2021,18:00:00,30.45721,V ugm-3
26/03/2021,19:00:00,20.8268,V ugm-3
26/03/2021,20:00:00,12.24156,V ugm-3
26/03/2021,21:00:00,13.67561,V ugm-3
26/03/2021,22:00:00,10.6368,V ugm-3
26/03/2021,23:00:00,5.81326,V ugm-3
26/03/2021,0:00:00,5.37078,V ugm-3
27/03/2021,01:00:00,4.21296,V ugm-3
27/03/2021,02:00:00,3.47543,V ugm-3
27/03/2021,03:00:00,2.82633,V ugm-3
27/03/2021,04:00:00,2.60532,V ugm-3
27/03/2021,05:00:00,2.88127,V ugm-3
27/03/2021,06:00:00,5.26558,V ugm-3
27/03/2021,07:00:00,7.47754,V ugm-3
27/03/2021,08:00:00,7.02549,V ugm-3
27/03/2021,09:00:00,6.35306,V ugm-3
27/03/2021,10:00:00,4.91337,V ugm-3
27/03/2021,11:00:00,4.36147,V ugm-3
27/03/2021,12:00:00,4.36398,V ugm-3
27/03/2021,13:00:00,5.13877,V ugm-3
27/03/2021,14:00:00,4.64306,V ugm-3
27/03/2021,15:00:00,5.81371,V ugm-3
27/03/2021,16:00:00,4.70114,V ugm-3
27/03/2021,17:00:00,6.14271,V ugm-3
27/03/2021,18:00:00,8.80798,V ugm-3
27/03/2021,19:00:00,12.03017,V ugm-3
27/03/2021,20:00:00,12.3667,V ugm-3
27/03/2021,21:00:00,12.13879,V ugm-3
27/03/2021,22:00:00,12.30549,V ugm-3
27/03/2021,23:00:00,10.0298,V ugm-3
27/03/2021,0:00:00,7.19846,V ugm-3
28/03/2021,01:00:00,4.66755,V ugm-3
28/03/2021,02:00:00,3.62673,V ugm-3
28/03/2021,03:00:00,2.16211,V ugm-3
28/03/2021,04:00:00,2.33102,V ugm-3
28/03/2021,05:00:00,2.44044,V ugm-3
28/03/2021,06:00:00,3.64984,V ugm-3
28/03/2021,07:00:00,4.48294,V ugm-3
28/03/2021,08:00:00,3.93709,V ugm-3
28/03/2021,09:00:00,4.21606,V ugm-3
28/03/2021,10:00:00,4.93018,V ugm-3
28/03/2021,11:00:00,4.48739,V ugm-3
28/03/2021,12:00:00,4.37542,V ugm-3
28/03/2021,13:00:00,4.60191,V ugm-3
28/03/2021,14:00:00,4.54497,V ugm-3
28/03/2021,15:00:00,3.81875,V ugm-3
28/03/2021,16:00:00,3.93391,V ugm-3
28/03/2021,17:00:00,5.99168,V ugm-3
28/03/2021,18:00:00,7.43839,V ugm-3
28/03/2021,19:00:00,6.66414,V ugm-3
28/03/2021,20:00:00,6.7249,V ugm-3
28/03/2021,21:00:00,6.33586,V ugm-3
28/03/2021,22:00:00,6.11256,V ugm-3
28/03/2021,23:00:00,6.72744,V ugm-3
28/03/2021,0:00:00,6.00505,V ugm-3
29/03/2021,01:00:00,4.37765,V ugm-3
29/03/2021,02:00:00,3.18964,V ugm-3
29/03/2021,03:00:00,1.99927,V ugm-3
29/03/2021,04:00:00,2.77938,V ugm-3
29/03/2021,05:00:00,4.22872,V ugm-3
29/03/2021,06:00:00,7.45941,V ugm-3
29/03/2021,07:00:00,10.18819,V ugm-3
29/03/2021,08:00:00,12.89759,V ugm-3
29/03/2021,09:00:00,14.12988,V ugm-3
29/03/2021,10:00:00,7.54123,V ugm-3
29/03/2021,11:00:00,7.0925,V ugm-3
29/03/2021,12:00:00,7.42647,V ugm-3
29/03/2021,13:00:00,7.47771,V ugm-3
29/03/2021,14:00:00,7.09121,V ugm-3
29/03/2021,15:00:00,9.19491,V ugm-3
29/03/2021,16:00:00,9.76681,V ugm-3
29/03/2021,17:00:00,12.61616,V ugm-3
29/03/2021,18:00:00,17.74428,V ugm-3
29/03/2021,19:00:00,17.13728,V ugm-3
29/03/2021,20:00:00,18.22208,V ugm-3
29/03/2021,21:00:00,30.49179,V ugm-3
29/03/2021,22:00:00,40.38951,V ugm-3
29/03/2021,23:00:00,58.87363,V ugm-3
29/03/2021,0:00:00,57.21888,V ugm-3
30/03/2021,01:00:00,50.4408,V ugm-3
30/03/2021,02:00:00,51.62657,V ugm-3
30/03/2021,03:00:00,51.3783,V ugm-3
30/03/2021,04:00:00,43.54784,V ugm-3
30/03/2021,05:00:00,50.4983,V ugm-3
30/03/2021,06:00:00,57.19367,V ugm-3
30/03/2021,07:00:00,65.59264,V ugm-3
30/03/2021,08:00:00,66.58404,V ugm-3
30/03/2021,09:00:00,77.35447,V ugm-3
30/03/2021,10:00:00,66.71481,V ugm-3
30/03/2021,11:00:00,55.56263,V ugm-3
30/03/2021,12:00:00,36.84313,V ugm-3
30/03/2021,13:00:00,33.53091,V ugm-3
30/03/2021,14:00:00,30.21674,V ugm-3
30/03/2021,15:00:00,24.06041,V ugm-3
30/03/2021,16:00:00,21.22612,V ugm-3
30/03/2021,17:00:00,16.32268,V ugm-3
30/03/2021,18:00:00,19.51643,V ugm-3
30/03/2021,19:00:00,45.15742,V ugm-3
30/03/2021,20:00:00,55.2869,V ugm-3
30/03/2021,21:00:00,85.36256,V ugm-3
30/03/2021,22:00:00,80.8738,V ugm-3
30/03/2021,23:00:00,78.40913,V ugm-3
30/03/2021,0:00:00,68.07371,V ugm-3
31/03/2021,01:00:00,63.07223,V ugm-3
31/03/2021,02:00:00,46.22894,V ugm-3
31/03/2021,03:00:00,38.4477,V ugm-3
31/03/2021,04:00:00,39.84737,V ugm-3
31/03/2021,05:00:00,44.83011,V ugm-3
31/03/2021,06:00:00,54.70889,V ugm-3
31/03/2021,07:00:00,73.77119,V ugm-3
31/03/2021,08:00:00,71.28115,V ugm-3
31/03/2021,09:00:00,80.72451,V ugm-3
31/03/2021,10:00:00,61.28306,V ugm-3
31/03/2021,11:00:00,22.76114,V ugm-3
